Name	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi	Domain	Phylum	Class	Order	Family	Genus	Domain_Phylum	year_trt
X16S_6885	1	0	0	0.018100821	0	4	-0.8267611	0	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	Terrimonas	Bacteria_Bacteroidetes	2012_control
X16S_689	2	0	0	1.09e-83	1	8	-0.105999788	0	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria	2012_control
X16S_695	2	33	33	2.47e-83	0	8	-0.105999788	0	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Actinobacteria	2012_control
X16S_7	2	76.58684371	144	0.003048793	0	1	-0.283625208	0	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unclassified	Unclassified	Gp4	Bacteria_Acidobacteria	2012_control
X16S_702	1	0	0	8.82e-06	0	0	-0.481543412	0	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified	2012_control
X16S_7051	1	0	0	4.63e-136	0	86	0	0	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Unclassified	Unclassified	Bacteria_Proteobacteria	2012_control
X16S_7108	1	0	0	4.63e-136	0	85	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unclassified	Unclassified	Gp6	Bacteria_Acidobacteria	2012_control
X16S_7169	1	0	0	5.3e-106	0	19	-0.577350269	0	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria	2012_control
X16S_719	1	0	0	4.27e-117	0	21	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp2	Unclassified	Unclassified	Gp2	Bacteria_Acidobacteria	2012_control
X16S_720	20	4611.556852	76983	0.142490168	0	2	2.443733002	0.535	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Bacteria_Proteobacteria	2012_control
X16S_7289	1	0	0	4.27e-117	0	26	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Rudaea	Bacteria_Proteobacteria	2012_control
X16S_73	1	0	0	0.019850268	0	4	-0.8267611	0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified	Bacteria_Proteobacteria	2012_control
X16S_731	1	0	0	0.000319977	0	1	-0.739451436	0	Bacteria	Acidobacteria	Acidobacteria_Gp5	Unclassified	Unclassified	Gp5	Bacteria_Acidobacteria	2012_control
X16S_733	1	0	0	0.008049825	0	2	-0.668568463	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	Bacteria_Actinobacteria	2012_control
X16S_735	2	0	0	4.12e-07	1	3	-0.206372086	0	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Zavarzinella	Bacteria_Planctomycetes	2012_control
X16S_740	1	0	0	0.003104246	0	4	-0.8267611	0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Unclassified	Bacteria_Proteobacteria	2012_control
X16S_742	2	4.213349139	185	0.029154998	0	4	-0.629913219	0	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	Unclassified	Bacteria_Bacteroidetes	2012_control
X16S_7449	1	0	0	4.63e-136	0	81	0	0	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria	2012_control
X16S_7460	3	753	7741	0.000150708	0	14	1.75	0	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified	2012_control
X16S_747	1	0	0	5.3e-106	0	19	-0.577350269	0	Bacteria	Proteobacteria	Alphaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria	2012_control
X16S_758	2	6	6	2.07e-98	0	11	0.377964473	0	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Singulisphaera	Bacteria_Planctomycetes	2012_control
X16S_7585	3	425.9137685	4129	0.000216012	0	6	0.744452765	0	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified	2012_control
X16S_761	1	0	0	4.63e-136	0	80	0	0	Bacteria	Proteobacteria	Deltaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria	2012_control
X16S_7627	1	0	0	0.01141103	0	2	-0.668568463	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Unclassified	Unclassified	Bacteria_Proteobacteria	2012_control
