node1	node2	sign	year_trt	edge
X16S_501	X16S_17099	 1	2009_controlandwarm	X16S_501__X16S_17099
X16S_175	X16S_180	 1	2009_controlandwarm	X16S_175__X16S_180
X16S_175	X16S_1917	 1	2009_controlandwarm	X16S_175__X16S_1917
X16S_1758	X16S_25371	-1	2009_controlandwarm	X16S_1758__X16S_25371
X16S_1786	X16S_22763	-1	2009_controlandwarm	X16S_1786__X16S_22763
X16S_4644	X16S_17870	-1	2009_controlandwarm	X16S_4644__X16S_17870
X16S_8	X16S_18	 1	2009_controlandwarm	X16S_8__X16S_18
X16S_180	X16S_25187	 1	2009_controlandwarm	X16S_180__X16S_25187
X16S_96	X16S_180	 1	2009_controlandwarm	X16S_96__X16S_180
X16S_182	X16S_18050	 1	2009_controlandwarm	X16S_182__X16S_18050
X16S_187	X16S_18050	 1	2009_controlandwarm	X16S_187__X16S_18050
X16S_21	X16S_18050	 1	2009_controlandwarm	X16S_21__X16S_18050
X16S_49	X16S_18050	 1	2009_controlandwarm	X16S_49__X16S_18050
X16S_96	X16S_18050	 1	2009_controlandwarm	X16S_96__X16S_18050
X16S_1808	X16S_4901	-1	2009_controlandwarm	X16S_1808__X16S_4901
X16S_1815	X16S_5112	-1	2009_controlandwarm	X16S_1815__X16S_5112
X16S_8049	X16S_18161	-1	2009_controlandwarm	X16S_8049__X16S_18161
X16S_9822	X16S_18197	-1	2009_controlandwarm	X16S_9822__X16S_18197
X16S_1822	X16S_6772	-1	2009_controlandwarm	X16S_1822__X16S_6772
X16S_4902	X16S_18415	-1	2009_controlandwarm	X16S_4902__X16S_18415
X16S_1849	X16S_2955	-1	2009_controlandwarm	X16S_1849__X16S_2955
X16S_1868	X16S_18543	-1	2009_controlandwarm	X16S_1868__X16S_18543
X16S_1868	X16S_25923	-1	2009_controlandwarm	X16S_1868__X16S_25923
X16S_1868	X16S_5454	-1	2009_controlandwarm	X16S_1868__X16S_5454
X16S_21	X16S_187	 1	2009_controlandwarm	X16S_21__X16S_187
X16S_187	X16S_223	 1	2009_controlandwarm	X16S_187__X16S_223
X16S_187	X16S_290	 1	2009_controlandwarm	X16S_187__X16S_290
X16S_52	X16S_187	 1	2009_controlandwarm	X16S_52__X16S_187
X16S_470	X16S_18743	 1	2009_controlandwarm	X16S_470__X16S_18743
X16S_188	X16S_225	 1	2009_controlandwarm	X16S_188__X16S_225
X16S_50	X16S_188	 1	2009_controlandwarm	X16S_50__X16S_188
X16S_5945	X16S_18868	-1	2009_controlandwarm	X16S_5945__X16S_18868
X16S_1887	X16S_9238	-1	2009_controlandwarm	X16S_1887__X16S_9238
X16S_18890	X16S_19698	 1	2009_controlandwarm	X16S_18890__X16S_19698
X16S_223	X16S_18890	 1	2009_controlandwarm	X16S_223__X16S_18890
X16S_429	X16S_18890	 1	2009_controlandwarm	X16S_429__X16S_18890
X16S_47	X16S_18890	 1	2009_controlandwarm	X16S_47__X16S_18890
X16S_49	X16S_190	 1	2009_controlandwarm	X16S_49__X16S_190
X16S_2132	X16S_19019	-1	2009_controlandwarm	X16S_2132__X16S_19019
X16S_639	X16S_19050	 1	2009_controlandwarm	X16S_639__X16S_19050
X16S_395	X16S_19079	 1	2009_controlandwarm	X16S_395__X16S_19079
X16S_1992	X16S_19111	-1	2009_controlandwarm	X16S_1992__X16S_19111
X16S_7763	X16S_19111	-1	2009_controlandwarm	X16S_7763__X16S_19111
X16S_21	X16S_1917	 1	2009_controlandwarm	X16S_21__X16S_1917
X16S_1917	X16S_21434	 1	2009_controlandwarm	X16S_1917__X16S_21434
X16S_319	X16S_1917	 1	2009_controlandwarm	X16S_319__X16S_1917
X16S_543	X16S_1917	 1	2009_controlandwarm	X16S_543__X16S_1917
X16S_19179	X16S_25699	-1	2009_controlandwarm	X16S_19179__X16S_25699
X16S_248	X16S_1929	 1	2009_controlandwarm	X16S_248__X16S_1929
X16S_198	X16S_19351	 1	2009_controlandwarm	X16S_198__X16S_19351
X16S_19351	X16S_25692	 1	2009_controlandwarm	X16S_19351__X16S_25692
X16S_5401	X16S_19351	 1	2009_controlandwarm	X16S_5401__X16S_19351
X16S_4186	X16S_19457	-1	2009_controlandwarm	X16S_4186__X16S_19457
X16S_195	X16S_2791	 1	2009_controlandwarm	X16S_195__X16S_2791
X16S_60	X16S_196	 1	2009_controlandwarm	X16S_60__X16S_196
X16S_1969	X16S_3818	 1	2009_controlandwarm	X16S_1969__X16S_3818
X16S_197	X16S_336	 1	2009_controlandwarm	X16S_197__X16S_336
X16S_198	X16S_25692	 1	2009_controlandwarm	X16S_198__X16S_25692
X16S_198	X16S_3446	 1	2009_controlandwarm	X16S_198__X16S_3446
X16S_198	X16S_693	 1	2009_controlandwarm	X16S_198__X16S_693
X16S_20	X16S_1989	 1	2009_controlandwarm	X16S_20__X16S_1989
X16S_2	X16S_20055	 1	2009_controlandwarm	X16S_2__X16S_20055
X16S_29	X16S_2004	-1	2009_controlandwarm	X16S_29__X16S_2004
X16S_2004	X16S_8849	 1	2009_controlandwarm	X16S_2004__X16S_8849
X16S_364	X16S_20058	 1	2009_controlandwarm	X16S_364__X16S_20058
X16S_2034	X16S_3315	-1	2009_controlandwarm	X16S_2034__X16S_3315
X16S_204	X16S_24090	 1	2009_controlandwarm	X16S_204__X16S_24090
X16S_2054	X16S_4080	-1	2009_controlandwarm	X16S_2054__X16S_4080
X16S_2070	X16S_2115	-1	2009_controlandwarm	X16S_2070__X16S_2115
X16S_26	X16S_2079	 1	2009_controlandwarm	X16S_26__X16S_2079
X16S_2079	X16S_8988	 1	2009_controlandwarm	X16S_2079__X16S_8988
X16S_2084	X16S_8145	 1	2009_controlandwarm	X16S_2084__X16S_8145
X16S_2097	X16S_2157	-1	2009_controlandwarm	X16S_2097__X16S_2157
X16S_2097	X16S_4030	-1	2009_controlandwarm	X16S_2097__X16S_4030
X16S_2097	X16S_4925	-1	2009_controlandwarm	X16S_2097__X16S_4925
X16S_21	X16S_21929	 1	2009_controlandwarm	X16S_21__X16S_21929
