Name	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No. module	Zi	Pi	Domain	Phylum	Class	Order	Family	Genus	Domain_Phylum
X16S_928	2	123.7054453	1551	0.002819044	0	3	-0.558	0	Bacteria	Proteobacteria	Betaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_93	13	5420.0607	43042	0.026175674	0.038461538	6	2.237	0.698	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	Bacteria_Proteobacteria
X16S_937	1	0	0	6.22E-108	0	35	0	0	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Actinobacteria
X16S_94	1	0	0	6.22E-108	0	34	0	0	Bacteria	Proteobacteria	Betaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_942	21	6677.724669	66039	0.146840802	0.176190476	3	1.705	0.39	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_9426	2	422.3955258	3161	0.000148125	0	4	0	0	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Actinobacteria
X16S_944	2	0	0	4.03E-54	1	15	-0.559	0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	Bacteria_Firmicutes
X16S_946	1	0	0	6.22E-108	0	33	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unclassified	Unclassified	Gp6	Bacteria_Acidobacteria
X16S_947	1	0	0	0.000135083	0	4	-0.547	0	Bacteria	Actinobacteria	Actinobacteria	Thermoleophilales	Thermoleophilaceae	Thermoleophilum	Bacteria_Actinobacteria
X16S_95	3	618	4480	5.03E-06	0.333333333	7	0.576	0	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unclassified	Unclassified	Gp4	Bacteria_Acidobacteria
X16S_952	12	362.2512601	6610	0.150414793	0.424242424	3	0.896	0.152	Bacteria	Proteobacteria	Betaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_953	2	227.5867225	3075	0.001002786	0	1	-0.354	0	Bacteria	Verrucomicrobia	Subdivision3	Unclassified	Unclassified	Subdivision3_genera_incertae_sedis	Bacteria_Verrucomicrobia
X16S_9557	1	0	0	2.06E-05	0	1	-0.615	0	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_965	2	618	5496	0.015445262	0	3	-0.558	0	Bacteria	Acidobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Acidobacteria
X16S_9679	4	664.815337	5461	0.007485979	0.333333333	5	0.324	0	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Unclassified	Unclassified	Bacteria_Actinobacteria
X16S_97	10	6365.610231	43802	0.059831297	0.288888889	5	1.657	0.34	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified
X16S_974	1	0	0	0.000796855	0	1	-0.615	0	Bacteria	Bacteroidetes	Bacteroidetes_incertae_sedis	Unclassified	Unclassified	Ohtaekwangia	Bacteria_Bacteroidetes
X16S_9746	1	0	0	0.000170379	0	3	-0.719	0	Bacteria	Verrucomicrobia	Spartobacteria	Unclassified	Unclassified	Spartobacteria_genera_incertae_sedis	Bacteria_Verrucomicrobia
X16S_978	1	0	0	0.016703992	0	3	-0.719	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Unclassified	Bacteria_Actinobacteria
X16S_985	1	0	0	0.002090213	0	3	-0.719	0	Bacteria	Acidobacteria	Acidobacteria_Gp3	Unclassified	Unclassified	Gp3	Bacteria_Acidobacteria
X16S_99	7	7589.893509	60165	0.014394303	0	3	-0.396	0.612	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unclassified	Unclassified	Gp4	Bacteria_Acidobacteria
X16S_9905	1	0	0	5.26E-05	0	7	-0.73	0	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified
X16S_993	3	1234	6928	5.70E-05	0.333333333	7	0.576	0	Bacteria	Acidobacteria	Acidobacteria_Gp3	Unclassified	Unclassified	Gp3	Bacteria_Acidobacteria
X16S_9957	6	4334.111385	30459	0.003022404	0	1	0.427	0.277	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_996	2	394.9312	7609	0.000338298	0	1	-0.615	0.5	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Unclassified	Unclassified	Bacteria_Bacteroidetes
X16S_997	1	0	0	0.000267432	0	20	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Stella	Bacteria_Proteobacteria
X16S_999	4	87.70351789	951	0.015443462	0.5	0	-0.527	0.375	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Singulisphaera	Bacteria_Planctomycetes
