OTU	X14_10N_H_N_1	X14_10S_H_C_1	X14_15N_H_N_0	X14_15S_H_C_0	X14_16N_H_N_1	X14_16S_H_C_1	X14_18N_H_N_0	X14_18S_H_C_0	X14_1N_H_N_1	X14_1S_H_C_1	X14_20N_H_N_1	X14_20S_H_C_1	X14_21N_H_N_2	X14_21S_H_C_2	X14_22N_H_N_2	X14_22S_H_C_2	X14_2N_H_N_0	X14_2S_H_C_0	X14_4N_H_N_2	X14_4S_H_C_2	X14_5N_H_N_0	X14_5S_H_C_0	X14_7N_H_N_2	X14_7S_H_C_2
X16S_270	14	9	1	1	1	6	3	3	11	0	6	2	1	16	8	26	2	3	12	20	9	21	12	12
X16S_271	19	10	128	124	10	13	39	32	21	35	36	25	22	12	50	10	32	11	32	30	10	22	10	51
X16S_272	13	11	3	9	12	18	5	20	8	13	12	5	11	22	10	7	29	29	7	11	30	16	15	21
X16S_273	2	7	0	0	0	0	1	0	1	8	0	7	2	15	4	31	0	5	5	8	0	9	2	4
X16S_274	2	0	0	0	1	5	0	0	0	5	0	2	0	16	6	17	2	5	5	1	2	2	6	2
X16S_275	3	9	10	11	0	18	2	28	12	24	13	31	7	24	3	11	9	50	17	24	75	17	27	3
X16S_276	1	25	1	1	24	3	9	4	12	9	4	21	0	5	0	0	8	18	1	7	3	10	5	5
X16S_277	14	3	11	10	16	21	10	15	10	13	21	12	14	7	7	6	21	12	18	24	11	9	8	5
X16S_278	7	1	1	0	2	2	1	1	2	8	1	17	0	8	8	11	0	9	14	9	16	3	30	7
X16S_279	87	19	10	19	39	63	20	43	51	73	54	42	47	46	70	60	64	69	51	69	111	85	105	63
X16S_280	6	8	1	5	1	8	24	0	11	11	4	1	5	0	2	0	5	1	0	2	0	0	2	0
X16S_281	13	16	4	5	13	20	22	84	30	25	46	22	26	35	2	3	273	87	13	22	67	13	22	6
X16S_282	6	20	9	2	2	11	4	3	1	3	6	1	5	1	14	4	6	3	0	17	5	29	4	2
X16S_283	1	2	2	1	3	0	5	0	1	2	0	10	0	1	9	2	0	2	4	0	3	0	5	0
X16S_284	4	7	1	3	9	6	3	11	19	38	23	6	23	11	7	3	53	23	4	8	20	5	38	5
X16S_285	5	11	0	0	3	3	6	0	0	10	2	6	5	24	9	22	0	1	4	12	0	1	5	18
X16S_286	14	6	21	11	28	20	8	5	10	26	28	12	17	6	4	3	27	6	12	16	19	14	7	7
X16S_287	25	18	15	11	28	8	35	9	15	7	26	20	35	10	20	15	3	3	6	13	8	6	3	7
X16S_288	10	7	10	6	25	11	7	4	6	45	2	5	2	6	2	5	7	13	23	22	15	20	6	1
X16S_289	2	0	0	0	4	16	1	3	3	3	5	2	0	2	1	2	8	9	9	1	16	13	8	1
X16S_290	7	24	1	1	2	6	7	2	4	3	2	4	5	17	0	5	1	1	5	8	5	2	1	3
X16S_291	5	2	0	1	0	15	7	7	1	4	1	5	2	9	4	6	1	2	7	11	9	11	9	5
X16S_292	11	11	0	0	1	0	5	3	2	6	3	6	12	5	4	1	0	1	1	2	0	2	1	1
X16S_293	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X16S_294	2	31	0	2	0	0	1	2	3	7	0	1	7	18	13	14	0	2	3	52	0	17	3	6
X16S_295	39	4	0	1	18	19	4	10	7	19	17	16	8	17	21	24	4	4	2	5	15	3	41	17
X16S_296	0	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	7	11	0	2	2	1	1	1
X16S_297	28	32	56	47	25	21	59	39	27	14	44	22	53	27	14	15	31	8	25	32	22	15	6	14
X16S_298	6	74	21	72	17	16	25	34	119	27	37	173	29	9	71	10	115	168	4	6	27	16	19	23
X16S_299	1	9	5	3	2	1	6	1	13	5	5	3	4	4	1	2	17	8	1	1	9	2	8	4
X16S_300	10	8	1	4	0	2	3	15	4	6	1	37	1	0	0	2	0	9	4	3	0	6	1	23
X16S_301	37	29	6	37	5	14	12	27	23	14	21	11	33	17	1	9	3	8	21	23	24	20	2	12
X16S_302	47	17	50	71	8	28	19	29	32	41	29	17	13	11	3	8	34	35	45	31	32	12	3	3
X16S_303	4	4	0	0	1	70	1	2	0	2	0	1	0	2	20	3	0	5	1	14	9	228	13	1
X16S_304	19	10	112	86	7	10	18	24	19	11	37	8	19	16	5	6	36	13	41	8	23	9	0	8
X16S_305	0	56	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
X16S_306	11	5	2	5	10	10	3	4	9	9	7	6	9	10	4	3	6	7	6	7	5	7	0	2
X16S_307	83	55	2	6	230	37	6	27	36	31	22	23	16	24	30	50	36	17	20	88	33	31	67	40
X16S_308	16	9	10	12	2	6	1	2	3	6	8	5	16	6	3	4	10	3	12	12	3	6	7	11
X16S_309	2	41	0	1	7	1	2	3	104	89	0	1	0	1	0	1	0	1	2	1	2	4	11	5
X16S_310	4	0	0	2	4	16	1	2	3	7	3	6	0	24	18	42	2	8	6	9	4	9	26	27
X16S_311	7	18	8	3	20	9	29	17	26	27	59	30	9	7	2	7	56	47	3	8	20	14	9	6
X16S_312	11	6	7	9	10	19	18	24	16	18	19	2	7	2	1	5	23	28	33	27	24	23	7	3
X16S_313	2	7	1	1	4	8	2	29	8	5	4	5	2	2	1	3	0	19	6	18	22	4	5	4
X16S_314	6	1	0	2	2	17	2	4	13	1	20	0	3	0	6	1	0	8	8	5	41	1	18	0
X16S_315	6	12	3	0	25	2	16	8	5	13	5	11	6	16	136	4	7	6	1	1	3	3	7	9
X16S_316	16	10	1	3	4	9	3	6	8	9	21	9	15	6	9	4	0	6	3	10	13	5	1	0
X16S_317	3	14	4	4	1	8	4	15	4	4	3	6	17	15	4	41	5	4	9	21	7	6	13	10
X16S_318	1	8	0	0	0	2	10	7	0	2	0	7	2	4	7	1	0	6	17	8	4	7	6	0
X16S_319	7	5	0	0	0	1	1	0	4	3	1	4	4	9	4	13	0	3	1	7	0	3	0	0
X16S_320	7	7	2	1	4	1	0	3	3	8	2	4	3	1	2	3	5	8	4	2	5	6	46	1
X16S_321	3	1	0	0	1	3	0	0	0	0	0	1	3	1	2	0	0	1	1	2	3	2	14	2
X16S_322	7	8	1	2	1	5	8	11	5	8	3	3	8	24	1	17	3	1	10	9	5	2	0	3
X16S_323	1	2	2	2	2	9	5	50	2	13	10	10	13	2	1	0	11	46	3	5	12	0	2	1
X16S_324	16	64	139	105	114	23	39	27	11	58	104	82	28	14	9	5	48	42	11	9	21	16	11	22
X16S_325	2	19	3	2	5	22	2	11	7	3	4	4	6	1	99	2	5	21	7	1	18	7	11	10
X16S_326	5	3	9	3	16	1	3	4	20	2	56	7	38	12	0	2	63	8	9	1	26	0	4	0
X16S_327	4	1	0	0	7	0	4	0	3	1	0	5	0	0	3	0	5	0	0	0	0	1	2	1
X16S_328	48	10	1	2	1	0	4	0	6	14	5	7	5	43	68	131	2	1	3	8	3	1	0	2
X16S_329	7	8	5	3	5	1	11	3	8	6	3	6	23	5	1	5	5	1	25	10	2	13	2	6
X16S_330	13	8	11	10	8	7	31	20	7	7	20	13	23	7	20	14	3	1	9	7	5	4	2	6
X16S_331	0	0	0	0	0	0	0	0	1	0	0	20	0	0	0	0	2	0	0	4	1	0	1	0
X16S_332	7	1	1	1	2	9	9	6	5	12	7	5	10	6	5	5	11	19	10	11	13	11	1	0
X16S_333	8	2	2	5	15	5	3	3	11	7	5	4	0	7	0	3	4	6	5	8	13	22	7	3
X16S_334	5	2	0	2	8	18	1	6	2	0	2	14	0	6	5	1	2	7	10	13	4	4	5	6
X16S_335	0	0	0	0	3	4	0	1	0	2	0	3	1	8	7	12	0	1	0	3	0	7	4	6
X16S_336	3	5	0	1	2	7	0	0	0	8	0	6	1	7	2	16	0	4	12	4	3	7	3	1
X16S_337	6	0	0	1	0	5	1	2	1	4	0	3	1	2	0	4	4	4	1	1	5	19	3	1
X16S_338	3	13	16	9	6	28	8	20	4	8	37	4	9	8	0	3	18	15	15	6	11	1	2	4
X16S_339	15	10	1	1	2	5	2	10	4	11	3	4	2	5	6	22	2	9	11	15	9	4	11	9
X16S_340	2	8	3	5	2	10	15	4	21	10	5	1	0	14	12	13	24	19	11	8	8	4	10	12
X16S_341	3	2	1	1	2	8	2	7	2	5	2	5	4	8	2	3	0	2	3	4	3	6	0	2
X16S_342	1	5	1	0	0	5	3	1	9	3	2	1	0	0	0	2	1	1	2	2	2	2	2	0
X16S_343	5	5	2	6	2	2	5	15	1	12	21	10	7	14	1	5	5	4	3	2	26	3	3	6
X16S_344	7	0	0	8	50	7	1	6	6	2	330	3	3	3	1	2	251	81	2	4	15	3	11	1
X16S_345	12	9	4	13	16	9	32	17	11	15	25	20	19	7	5	3	10	9	18	10	14	8	23	21
X16S_346	20	11	5	1	0	0	29	4	11	2	7	3	19	12	4	8	1	0	5	14	3	3	1	14
X16S_347	3	19	1	3	8	6	16	8	9	5	7	7	12	14	6	17	2	10	8	3	5	4	11	7
X16S_348	8	14	4	0	22	16	9	9	14	38	6	20	2	9	3	5	12	47	7	11	38	7	35	9
X16S_349	11	8	4	6	3	5	58	22	6	2	12	3	33	11	1	10	0	3	1	4	3	2	2	0
X16S_350	1	7	0	0	1	1	0	1	2	8	0	2	1	10	6	13	0	0	2	11	1	7	3	12
X16S_351	2	98	0	1	0	0	3	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	13	0
X16S_352	1	6	0	0	0	5	8	10	0	4	1	5	0	5	0	3	1	5	2	2	9	1	14	4
X16S_353	1	2	0	0	2	9	3	5	8	1	6	1	0	2	0	5	3	6	7	9	2	7	8	2
X16S_354	51	17	21	4	0	1	10	0	38	23	5	0	3	1	1	0	27	3	18	1	10	1	34	0
X16S_355	0	0	4	0	43	1	2	3	3	0	3	7	31	0	0	1	4	6	2	0	1	0	4	3
X16S_356	1	2	0	0	1	3	0	2	2	11	1	4	0	6	7	12	0	1	1	8	1	6	2	2
X16S_357	1	4	5	4	0	14	5	6	2	3	5	17	8	6	0	2	5	11	10	7	8	10	5	2
X16S_358	13	17	0	1	5	4	8	20	12	10	9	16	7	18	14	14	3	7	12	8	15	14	3	1
X16S_359	1	9	1	19	33	5	8	11	0	15	2	3	4	6	15	2	7	11	16	10	5	9	9	4
X16S_360	2	7	0	0	0	13	0	8	0	1	1	2	1	4	1	1	0	8	2	2	3	1	6	0
X16S_361	1	0	0	0	0	0	0	2	0	1	0	1	1	8	2	3	0	1	2	0	1	0	1	0
X16S_362	10	16	0	0	0	1	13	3	4	6	1	5	0	10	3	6	0	3	6	4	2	7	4	10
X16S_363	6	4	13	4	32	24	25	22	7	18	23	6	4	4	2	3	32	58	5	15	46	18	32	3
X16S_364	20	2	2	0	8	12	0	0	6	13	5	7	4	16	21	24	1	0	2	2	3	4	42	30
X16S_365	3	8	1	3	6	4	0	11	9	5	2	1	1	2	0	2	12	17	3	2	7	4	14	0
X16S_366	6	4	1	5	2	35	1	23	7	14	15	5	2	8	4	5	6	20	4	13	16	10	23	3
X16S_367	34	8	2	2	2	34	18	21	13	13	14	15	11	8	5	7	6	4	6	9	11	8	4	11
X16S_368	7	13	0	2	5	11	4	8	6	18	4	13	3	14	11	13	6	10	11	11	12	12	11	8
X16S_369	19	7	6	12	10	20	50	19	17	12	11	5	12	8	11	14	7	19	7	7	16	3	12	12
X16S_370	1	4	0	1	1	11	0	4	1	6	1	3	2	3	3	5	6	23	1	0	10	9	4	5
X16S_371	4	8	11	27	1	4	3	38	5	4	10	10	0	3	0	0	5	8	13	10	29	5	1	6
X16S_372	10	7	7	12	17	25	129	34	18	14	27	11	61	20	7	14	9	2	15	14	17	3	4	4
X16S_373	7	21	2	2	1	13	6	5	14	11	9	10	10	19	9	13	0	5	4	19	3	18	6	91
X16S_374	8	3	1	9	2	12	6	9	7	6	5	8	24	12	4	2	6	9	11	6	24	6	5	30
X16S_375	9	1	3	6	2	10	4	7	7	6	2	2	2	2	2	6	3	3	6	15	9	9	4	3
X16S_376	0	8	0	0	0	1	0	0	0	3	0	0	0	6	11	38	0	0	0	0	0	0	0	3
X16S_377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
X16S_378	2	13	1	3	2	0	3	0	17	1	2	0	1	0	2	1	1	7	1	0	8	1	2	0
X16S_379	0	0	0	5	0	0	94	1	0	0	0	70	0	0	0	0	0	0	0	1	0	0	0	0
X16S_380	0	0	1	1	0	0	0	0	0	2	0	0	27	0	364	0	0	0	1	0	0	1	0	0
X16S_381	3	0	5	1	0	0	1	3	0	2	1	7	1	10	0	3	0	0	3	3	0	10	0	2
X16S_382	20	51	3	8	1	0	22	0	9	3	3	2	2	0	0	0	10	4	13	0	9	1	34	1
X16S_383	6	4	3	8	4	7	2	11	12	9	14	5	11	15	1	2	16	6	15	2	27	6	10	8
X16S_384	0	8	0	0	3	0	1	0	0	0	0	3	4	0	1	0	0	3	0	1	1	1	1	0
X16S_385	4	5	19	22	6	5	15	26	11	2	15	7	31	6	3	1	7	1	21	8	4	1	0	0
X16S_386	8	5	4	1	1	0	13	2	7	6	5	2	2	14	4	3	1	0	5	9	2	1	0	0
X16S_387	4	4	0	1	135	4	2	7	5	9	2	25	16	1	1	2	2	14	1	4	11	3	0	3
X16S_388	1	8	0	4	8	1	3	2	9	20	9	0	0	3	0	0	28	13	1	1	6	7	2	0
X16S_389	9	7	3	2	19	0	29	15	10	9	16	7	15	4	4	2	2	2	4	3	4	2	0	0
X16S_390	32	6	8	8	20	5	3	15	8	11	8	18	7	10	1	0	3	16	9	2	12	3	11	8
X16S_391	35	13	1	1	12	18	5	1	9	9	8	13	7	16	37	38	4	9	6	16	14	17	17	17
X16S_392	9	4	0	1	7	8	1	8	0	0	1	9	3	7	7	13	0	11	10	17	16	9	8	3
X16S_393	18	7	0	1	2	7	1	5	7	6	2	5	1	15	1	9	3	3	5	13	3	8	2	3
X16S_394	4	7	0	0	6	0	5	0	10	6	0	0	0	1	13	3	1	0	0	0	0	0	6	11
X16S_395	9	16	1	3	23	3	13	3	6	10	3	6	5	16	26	24	1	2	6	13	9	3	3	5
X16S_396	26	6	4	3	25	54	14	36	38	36	16	23	8	12	12	18	25	36	23	22	39	28	25	20
X16S_397	3	96	1	2	25	5	1	36	19	12	7	43	28	0	3	5	53	23	2	35	12	8	5	7
X16S_398	7	5	0	0	5	6	2	2	0	20	3	4	10	10	6	5	5	22	7	9	13	11	11	9
X16S_399	4	1	0	0	5	6	0	5	2	9	2	4	3	2	4	6	4	3	4	11	6	2	3	6
X16S_400	7	3	1	0	2	3	10	0	1	15	2	5	2	14	5	21	2	1	6	7	1	6	8	2
X16S_401	0	15	1	0	0	0	13	0	0	12	0	2	0	1	0	1	0	1	3	0	0	1	5	0
X16S_402	4	0	67	22	13	4	8	2	16	8	63	1	4	6	1	2	102	13	7	7	11	1	0	4
X16S_403	16	9	10	50	1	26	16	36	28	15	11	15	2	4	0	4	8	34	14	18	5	6	0	33
X16S_404	0	1	0	0	0	0	0	0	0	3	0	2	0	14	1	12	0	1	0	1	0	0	0	3
